"feature_id","source_line","category","text"
"F0001","1","security","FINAL RESULT"
"F0002","2","security","Free में आपको मिलेगा:"
"F0003","3","security","✔ Password hashing"
"F0004","4","security","✔ JWT secure login"
"F0005","5","security","✔ Rate limiting"
"F0006","6","security","✔ MongoDB injection protection"
"F0007","7","security","✔ XSS protection"
"F0008","8","security","✔ Suspicious activity detection"
"F0009","9","security","✔ Risk scoring"
"F0010","10","security","✔ Device tracking"
"F0011","11","security","✔ Cloudflare firewall"
"F0012","13","security","LEVEL 1 — BASIC BACKEND SECURITY (Must Do First)"
"F0013","14","security","1️⃣ Password Hashing"
"F0014","15","security","bcrypt use करें"
"F0015","16","security","Plain password कभी store न करें"
"F0016","17","security","Salt rounds ≥ 10"
"F0017","18","security","2️⃣ JWT Authentication"
"F0018","19","security","Access token (15 min expiry)"
"F0019","20","security","Role include करें (admin / user)"
"F0020","21","security","Protected routes पर middleware"
"F0021","22","security","3️⃣ Role-Based Access Control (RBAC)"
"F0022","23","security","Admin route → सिर्फ admin"
"F0023","24","security","User route → authenticated user"
"F0024","25","security","4️⃣ Helmet (Security Headers)"
"F0025","26","security","XSS protection headers"
"F0026","27","security","Hide X-Powered-By"
"F0027","28","security","Frameguard enable"
"F0028","29","security","5️⃣ Rate Limiting"
"F0029","30","security","Login → max 5 attempts / 15 min"
"F0030","31","security","OTP → max 3 attempts"
"F0031","32","security","Global API limit"
"F0032","33","security","6️⃣ MongoDB Injection Protection"
"F0033","34","security","express-mongo-sanitize"
"F0034","35","security","7️⃣ XSS Protection"
"F0035","36","security","xss-clean"
"F0036","37","security","8️⃣ CORS Strict Configuration"
"F0037","38","security","सिर्फ goindiaride.in allow करें"
"F0038","39","security","allow मत करें"
"F0039","40","security","9️⃣ Environment Variables"
"F0040","41","security",".env file use करें"
"F0041","42","security","MONGO_URI"
"F0042","43","security","JWT_SECRET"
"F0043","44","security","FIREBASE_KEY"
"F0044","45","security","कभी GitHub पर push न करें"
"F0045","47","security","🔐 LEVEL 2 — ADVANCED SECURITY (FREE)"
"F0046","48","security","🔟 Refresh Token System"
"F0047","49","security","Short access token"
"F0048","50","security","Long refresh token (httpOnly cookie)"
"F0049","51","security","1️⃣1️⃣ Account Lock System"
"F0050","52","security","5 failed login → 30 min lock"
"F0051","53","security","1️⃣2️⃣ Suspicious Login Logging"
"F0052","54","security","Store:"
"F0053","55","security","IP"
"F0054","56","security","device"
"F0055","57","security","time"
"F0056","58","security","success/fail"
"F0057","59","security","1️⃣3️⃣ Device Fingerprinting"
"F0058","60","security","Store:"
"F0059","61","security","navigator.userAgent"
"F0060","62","security","OS"
"F0061","63","security","Browser"
"F0062","64","security","New device → extra OTP"
"F0063","65","security","1️⃣4️⃣ Geo Location Check"
"F0064","66","security","IP detect करके:"
"F0065","67","security","Country mismatch → extra verification"
"F0066","68","security","1️⃣5️⃣ Risk Score System (Free AI Logic)"
"F0067","69","security","Score calculate:"
"F0068","70","security","Failed attempts"
"F0069","71","security","New device"
"F0070","72","security","New IP"
"F0071","73","security","Multiple OTP"
"F0072","74","security","Score > threshold → block"
"F0073","76","security","🤖 LEVEL 3 — AI STYLE PROTECTION (FREE)"
