"category","bucket","featureId","sourceLine","blockKey","text"
"additional","general","F1969","1969","additional-f1969-line-1969","AI अवतार कस्टमाइजेशन: महाराजा अवतार को अलग-अलग पोशाक पहनाना।"
"additional","general","F1970","1970","additional-f1970-line-1970","स्मार्ट वेदर थीम: यदि बारिश हो रही है, तो वेबसाइट पर भी बारिश की बूंदें दिखें।"
"additional","general","F1971","1971","additional-f1971-line-1971","विंटेज फ़िल्टर: वेबसाइट को पुरानी पीली किताब जैसा दिखाने का विकल्प।"
"additional","general","F1972","1972","additional-f1972-line-1972","कस्टम रील मेकर: ग्राहकों की फोटो से ऑटोमैटिक रील बनाना।"
"additional","general","F1973","1973","additional-f1973-line-1973","मैग्नेटिक बटन: माउस पास ले जाते ही बटनों का हिलना।"
"additional","general","F1974","1974","additional-f1974-line-1974","लिविंग होमपेज: बैकग्राउंड में बदलता दिन, दोपहर और शाम का दृश्य।"
"additional","general","F1975","1975","additional-f1975-line-1975","रॉयल वॉटरमार्क: हर फोटो पर ब्रांड का प्रीमियम चिन्ह।"
"additional","general","F1976","1976","additional-f1976-line-1976","स्क्रॉल प्रोग्रेस बार: पेज के अंत तक पहुँचने का शाही निशान।"
"additional","general","F1977","1977","additional-f1977-line-1977","स्मार्ट डैशबोर्ड: ग्राहक के लिए उनकी यात्रा का पूरा आँकड़ा।"
"additional","general","F1978","1978","additional-f1978-line-1978","इंटरनेशनल लैंग्वेज सपोर्ट: 20+ विश्व भाषाओं में वेबसाइट।"
"additional","general","F1979","1979","additional-f1979-line-1979","Accessibility Mode: दिव्यांगों के लिए विशेष हाई-कंट्रास्ट लुक।"
"additional","general","F1980","1980","additional-f1980-line-1980","इंस्टेंट प्रीव्यू: बुकिंग से पहले गाड़ी का फोटो और ड्राइवर का चेहरा।"
"additional","general","F1981","1981","additional-f1981-line-1981","रॉयल सील: पेमेंट कन्फर्म होने पर राजसी मुहर का एनीमेशन।"
"additional","general","F1982","1982","additional-f1982-line-1982","ऑफलाइन ब्रांडिंग: डाउनलोड की हुई रसीद भी रॉयल दिखे।"
"additional","general","F1983","1983","additional-f1983-line-1983","V. वाहन श्रेणियां एवं सूक्ष्म चयन (171-210)"
"additional","general","F1984","1984","additional-f1984-line-1984","इकोनॉमी: बजट यात्री।"
"additional","general","F1985","1985","additional-f1985-line-1985","लग्जरी SUV: आरामदायक पारिवारिक सफर।"
"additional","general","F1986","1986","additional-f1986-line-1986","विंटेज कलेक्शन: शाही अनुभव हेतु।"
"additional","general","F1987","1987","additional-f1987-line-1987","इलेक्ट्रिक व्हीकल (EV): पर्यावरण अनुकूल।"
"additional","auto-suggestion","F1988","1988","additional-f1988-line-1988","लगेज इंडिकेटर: सामान के हिसाब से सुझाव।"
"additional","general","F1989","1989","additional-f1989-line-1989","रीयल कार फोटो: असली गाड़ी की तस्वीर।"
"additional","general","F1990","1990","additional-f1990-line-1990","कैरियर विकल्प: रूफ कैरियर का चुनाव।"
"additional","general","F1991","1991","additional-f1991-line-1991","पेट फ्रेंडली: पालतू जानवरों की सुविधा।"
"additional","general","F1992","1992","additional-f1992-line-1992","इंटीरियर कस्टमाइजेशन: हनीमून या सालगिरह सजावट।"
"additional","general","F1993","1993","additional-f1993-line-1993","महिला ड्राइवर: विशेष सुरक्षा अनुरोध।"
"additional","general","F1994","1994","additional-f1994-line-1994","बेबी सीट: बच्चों हेतु एक्स्ट्रा सीट।"
"additional","general","F1995","1995","additional-f1995-line-1995","व्हीलचेयर एक्सेस: दिव्यांग सुलभ वाहन।"
"additional","general","F1996","1996","additional-f1996-line-1996","वाईफाई ऑन बोर्ड: हाई-स्पीड इंटरनेट।"
"additional","general","F1997","1997","additional-f1997-line-1997","एंटरटेनमेंट सिस्टम: पीछे की सीट पर स्क्रीन।"
"additional","general","F1998","1998","additional-f1998-line-1998","वाहन फिटनेस: सफाई का रीयल-टाइम स्टेटस।"
"additional","general","F1999","1999","additional-f1999-line-1999","फर्स्ट एड किट: प्राथमिक चिकित्सा।"
"additional","general","F2000","2000","additional-f2000-line-2000","मैगजीन और अखबार: पढ़ने की सामग्री।"
"additional","general","F2001","2001","additional-f2001-line-2001","स्मार्ट डैशकैम: सुरक्षा रिकॉर्डिंग।"
"additional","general","F2002","2002","additional-f2002-line-2002","नॉन-स्मोकिंग कैब: तंबाकू मुक्त वाहन।"
"additional","general","F2003","2003","additional-f2003-line-2003","कस्टम टेम्परेचर: पहले से AC सेटिंग।"
"additional","general","F2004","2004","additional-f2004-line-2004","एयर प्यूरीफायर: गाड़ी के अंदर साफ़ हवा।"
"additional","general","F2005","2005","additional-f2005-line-2005","चार्जिंग पॉइंट्स: हर सीट पर USB चार्जर।"
"additional","general","F2006","2006","additional-f2006-line-2006","सन-ब्लाइंड्स: धूप से बचने के लिए पर्दे।"
"additional","general","F2007","2007","additional-f2007-line-2007","छतरी सेवा: बारिश या धूप में ड्राइवर द्वारा छतरी देना।"
"additional","general","F2008","2008","additional-f2008-line-2008","ठंडा पानी: फ्रिज/आइस बॉक्स की सुविधा।"
"additional","general","F2009","2009","additional-f2009-line-2009","रीडिंग लाइट्स: रात में पढ़ने के लिए लाइट।"
"additional","general","F2010","2010","additional-f2010-line-2010","अरोमा डिफ्यूज़र: राजस्थानी इत्र की खुशबू।"
"additional","general","F2011","2011","additional-f2011-line-2011","एक्स्ट्रा कुशन: आरामदायक सफर के लिए तकिए।"
"additional","general","F2012","2012","additional-f2012-line-2012","म्यूजिक चॉइस: अपनी पसंद की प्लेलिस्ट बजाने का अधिकार।"
"additional","general","F2013","2013","additional-f2013-line-2013","गाड़ी का नंबर: बुकिंग के तुरंत बाद पारदर्शिता।"
"additional","general","F2014","2014","additional-f2014-line-2014","सेंसिटिव लगेज हैंडलिंग: कांच या कीमती सामान के लिए विशेष निर्देश।"
"additional","general","F2015","2015","additional-f2015-line-2015","ड्राइवर वर्दी: ड्राइवर का राजस्थानी वेशभूषा में होना।"
"additional","general","F2016","2016","additional-f2016-line-2016","गाड़ी की उम्र: वेबसाइट पर गाड़ी का मॉडल वर्ष स्पष्ट होना।"
"additional","general","F2017","2017","additional-f2017-line-2017","टायर प्रेशर चेक: लंबी यात्रा से पहले ऑटो-अपडेट।"
"additional","general","F2018","2018","additional-f2018-line-2018","इंटीरियर लाइटिंग: रात में मूड के हिसाब से लाइट बदलना।"
"additional","general","F2019","2019","additional-f2019-line-2019","स्नैक्स बॉक्स: लंबे सफर के लिए राजस्थानी नमकीन।"
"additional","general","F2020","2020","additional-f2020-line-2020","फेस टिशू और सैनिटाइज़र: हाइजीन के लिए।"
